sigma	i_sigma	i_Q	i_root_loc	degree_approx	h	detJ	normJinv	cond_root	cond_eig	err_est_root	err_est_eig	detJ_hat	cond_hat	err_est_hat	dist_z	pred_dist_z	test_dist_z	max_A2	approx_err	scale_factor	expected_x	expected_y	expected_z
1	1	1	1	3	1	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.180176536707377	5.55011223034045	5.55011223034045e-15	0.0135976973853338	0.00146665400433958	0.0133991797724643	0.0196494687471642	0.00146665400433958	0.564806143018942	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	0.335981828628378	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.21295363953671	4.69585775653116	1.57772287601809e-15	6.67662021317517e-05	2.5820500779886e-05	0.0133991797724643	0.0461550312691126	7.68508847198562e-05	0.597165930359732	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	0.112883789168469	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.191380783838887	5.22518499475813	5.89838681314524e-16	6.00802871897343e-08	2.31416578148289e-07	0.0133991797724643	0.0368333695808468	2.05004261331909e-06	0.57627897670957	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	0.0379269019073225	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.188110742451766	5.31601750631765	2.01620074499719e-16	1.99285186130993e-08	2.81242031675937e-09	0.0133991797724643	0.0354392120698461	7.41537055579111e-08	0.572977892714977	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	0.0127427498570313	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.187312341657421	5.33867651833065	6.80294194406944e-17	2.99760216648792e-15	3.53676889278635e-11	0.0133991797724643	0.0351019077365161	2.77551465144299e-09	0.572166110714099	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	0.0042813323987194	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.187074628745717	5.34546029413354	2.2885692343342e-17	2.89250845497691e-11	4.48736256347321e-13	0.0133991797724643	0.0350020573964969	1.04812290790957e-10	0.571923968191437	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	0.00143844988828766	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186998102677583	5.34764784070656	7.69232343906611e-18	2.40851782962181e-12	5.85295577450493e-15	0.0133991797724643	0.0349699909877148	4.06893269078168e-12	0.571845972470159	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	0.000483293023857175	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186972764714334	5.34837253718664	2.5848311362116e-18	1.83031367839703e-12	1.29552475962619e-15	0.0133991797724643	0.034959383097866	2.68061961516963e-12	0.571820143212165	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	0.000162377673918872	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186964293632688	5.34861486420828	8.68495640338046e-19	3.16746628925557e-13	1.10294086872701e-15	0.0133991797724643	0.0349558377094673	6.79244160917136e-12	0.571811507358555	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	5.45559478116851e-05	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186961452255136	5.34869615066614	2.91803188056303e-19	7.01660951563099e-14	8.5232621617187e-16	0.0133991797724643	0.0349546486328366	1.56229751357984e-11	0.571808610654627	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	1.83298071083244e-05	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186960498141935	5.34872344660116	9.80410690519713e-20	1.72362124573056e-12	6.86717381002314e-16	0.0133991797724643	0.0349542493657828	3.74645175993393e-11	0.571807637956662	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	6.15848211066027e-06	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186960177731959	5.34873261317542	3.2940074112946e-20	9.23872089941824e-12	5.64290362337126e-16	0.0133991797724643	0.0349541152674274	9.16281564511401e-11	0.571807311304815	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	2.06913808111479e-06	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186960070201248	5.34873568951689	1.10672727009972e-20	1.62707625150915e-11	1.05485710517152e-15	0.0133991797724643	0.0349540702569144	5.09805080095571e-10	0.571807201679227	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	6.95192796177561e-07	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186960035008799	5.34873669633692	3.71840321994399e-21	5.93521898295535e-11	8.29847096682841e-16	0.0133991797724643	0.0349540554023352	1.19369346351927e-09	0.571807165801161	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	2.33572146909012e-07	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.18696002551002	5.34873696808736	1.24931597688776e-21	7.57469642564956e-11	8.72796249913633e-16	0.0133991797724643	0.0349540510547009	3.73673086223603e-09	0.571807156117327	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	7.84759970351461e-08	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186960025613118	5.34873696513783	4.19747466217932e-22	4.09423606129167e-11	8.3729327211361e-16	0.0133991797724643	0.0349540510562507	1.0669418723519e-08	0.571807156222433	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	2.63665089873036e-08	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186960031604303	5.3487367937361	1.41027516742764e-22	1.92812432686651e-10	6.88358157800179e-16	0.0133991797724643	0.0349540546538114	2.61072923279926e-08	0.571807162330338	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	8.85866790410083e-09	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186960040987431	5.34873652529435	4.73826805841169e-23	4.02087252382444e-11	6.90626030136685e-16	0.0133991797724643	0.034954057093703	7.79604831802061e-08	0.571807171896268	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	2.97635144163131e-09	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186960120920338	5.3487342384962	1.59197128616509e-23	4.09391409661453e-11	4.9216468000941e-16	0.0133991797724643	0.0349541036113366	1.65358389175863e-07	0.571807253386414	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	1	1	3	1e-09	-1	1	1	0.999999999999998	1e-15	9.99999999999998e-16	0.186960568953618	5.34872142076165	5.34872142076165e-24	2.70738986785091e-12	8.44535304252159e-16	0.0133991797724643	0.0349542459316434	8.44535304252159e-07	0.571807710147769	0.123996228142938	0.94040418482087	-0.819458640622352
1	1	2	1	3	1	1	1	1	1	1e-15	1e-15	-0.222239858804179	4.49964288755747	4.49964288755747e-15	0.00270215088997183	0.00218523892495346	0.0853434351750219	0.0323160248137719	0.00218523892495346	0.605722887751619	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	0.335981828628378	1	1	1	1	1e-15	1e-15	-0.173767526366034	5.75481518850388	1.9335133304519e-15	6.93737704549058e-06	2.10357543191079e-05	0.0853434351750219	0.0258066319730832	6.26097976934789e-05	0.558028276687445	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	0.112883789168469	1	1	1	1	1e-15	1e-15	-0.150066929286135	6.66369335840332	7.52222956153327e-16	1.24167901516259e-08	2.17590849404718e-07	0.0853434351750219	0.0213641053579124	1.92756507384761e-06	0.531408298373325	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	0.0379269019073225	1	1	1	1	1e-15	1e-15	-0.144790874150151	6.90651262290867	2.61942626770742e-16	2.09545714113801e-11	2.66048137238474e-09	0.0853434351750219	0.0205944285639949	7.01476060155359e-08	0.525106099977456	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	0.0127427498570313	1	1	1	1	1e-15	1e-15	-0.143220738871258	6.98222902549682	8.89727979164097e-17	1.21000098829427e-10	3.34952129608114e-11	0.0853434351750219	0.0203894861267715	2.62857023300422e-09	0.523201085832226	-0.6448002018226	-0.400407529536345	0.645131096117767
1	1	2	1	3	0.0042813323987194	1	1	1	1	1e-15	1e-15	-0.142713245408475	7.00705808446716	2.99995447967379e-17	3.75962350140924e-09	4.25223523806609e-13	0.0853434351750219	0.0203260128994969	9.9320371371725e-11	0.522582378023267	-0.6448002018226	-0.400407529536345	0.645131096117767
